 HYMN TITLE,Text,LSB#,TLH#,LW#,LBW#,ELH#,CW#,WOV#,HS'98#
Wide Open Are Your Hands,,,,,489,265,,,
Wide Open Stand the Gates,Rev 5,639,,,,,,,
Wilt Thou Forgive that Sin Where I Begun,,,,,,498,,,
With Broken Heart and Contrite Sigh,Luke 18:13,,323,,,455,303,,
With God As Our Friend With His Spirit and Word,,,,,371,,,,
With High Delight Let Us Unite,Is 52:9-10,483,,134,140,,168,,
With the Lord Begin Thy Task,Col 3:17,869,540,483,444,82,478,,
With the Lord Begin Your Task,Col 3:17,869,540,483,444,82,478,,
With Trembling Awe the Chosen Three,,,,,,225,,,
Within the Father's House,Luke 2:41-52,410,133,80,,185,,,
Wondrous Are Your Ways O God,,,,,311,,307,,
Wondrous King All-Glorious,Ps 150:6,,41,,,,,,
"Word of God, Come Down on Earth",John 1:1-3,545,,,,,,716,
Word Supreme Before Creation,John 21:20,,271,,,,,,
Worthy Is Christ the Lamb Who Was Slain,,,,,,359,,,
Ye Lands to the Lord Make a Jubilant Noise,Ps 100,,44,205,256,56,252,,
"Ye Parents, Hear What Jesus Taught",Mark 10:14,,630,473,,186,516,,
Ye Sons and Daughters of the King,John 20,470-471,208,130,139,366,165,,
Ye Sons of Men Oh Hearken,"Luke 3:4, 5",354,75,25,,,14,,
Ye Watchers and Ye Holy Ones,Rev 7:9-15,670,475,308,175,540,,,
Yea as I Live Jehovah Saith,Ezek 33:11,614,331,235,,417,308,,
You Are God; We Praise You,Is 6:1-3,939,,,3,,,,
You Are the Way to You Alone,John 14:6,526,355,283,464,363,356,,
You Are the Way; Through You Alone,John 14:6,526,355,283,464,363,356,,
You Have Put on Christ,Gal 3:27,,,,,,,,845
You Parents Hear What Jesus Taught,Mark 10:14,,630,473,,186,516,,
You Satisfy the Hungry Heart,Ps 81:16,641,,,,,,711,855
You Servants of God Your Master Proclaim,,,,,252,,,,
You Will I Love My Strength,John 14:23,694,399,375,502,409,476,,
"Your Hand, O Lord, in Days of Old",Luke 19:10,846,,399,431,,520,,
"Your Heart, O God, is Grieved",Heb 4:16,945,,,96,,,,820
Your Kingdom Come O Father,,,,,384,,,,
Your Kingdom Come O Father Hear Our Prayer,,,,,376,,,,
"Your Kingdom, O God, Is My Glorious Treasure","Matt 13:24-33, 45",654,,,,,,,
Your Little Ones Dear Lord Are We,,,,,52,,46,,
Your Love O God Has Called Us Hear,,,,,,,601,,
Your Table I Approach,1 Cor 11:23-29,628,310,249,,,,,
Your Word O Lord is Gentle Dew,,,,,232,,,,
Your Works Not Mine O Christ,Phil 3:9,565,380,,,,401,,
Yours Forever God of Love,Mal 3:17,687,338,256,,515,426,,
Zion Mourns in Fear and Anguish,Is 49:14-17,,268,,,550,,,
Zion Stands by Hills Surrounded,Ps 125:2,,474,,,,,,
Zion to Thy Savior Singing,,,,,,321,,,
"Zion, Rise, Zion, Rise",Rev 2-3,,479,,,,,,
